nick,kills,deaths,thw,sui,score,damageGiven,damageRecvd,weaponStats.MachineGun.hits,weaponStats.MachineGun.miss,weaponStats.MachineGun.kills,weaponStats.MachineGun.deaths,weaponStats.MachineGun.acc,weaponStats.Shotgun.hits,weaponStats.Shotgun.miss,weaponStats.Shotgun.kills,weaponStats.Shotgun.deaths,weaponStats.Shotgun.acc,weaponStats.G\.Launcher.hits,weaponStats.G\.Launcher.miss,weaponStats.G\.Launcher.kills,weaponStats.G\.Launcher.deaths,weaponStats.G\.Launcher.acc,weaponStats.R\.Launcher.hits,weaponStats.R\.Launcher.miss,weaponStats.R\.Launcher.kills,weaponStats.R\.Launcher.deaths,weaponStats.R\.Launcher.acc,weaponStats.LightningGun:.hits,weaponStats.LightningGun:.miss,weaponStats.LightningGun:.kills,weaponStats.LightningGun:.deaths,weaponStats.LightningGun:.acc,weaponStats.Railgun.hits,weaponStats.Railgun.miss,weaponStats.Railgun.kills,weaponStats.Railgun.deaths,weaponStats.Railgun.acc,weaponStats.Plasmagun.hits,weaponStats.Plasmagun.miss,weaponStats.Plasmagun.kills,weaponStats.Plasmagun.deaths,weaponStats.Plasmagun.acc,games
^>!<HEERO-2B,148,166,14,0,162,64165,59198,1,8,1,0,12.5,9,99,2,1,9.1,3,141,0,1,2.1,246,1015,21,23,24.2,2989,8170,59,91,36.6,327,634,65,48,51.6,0,18,0,2,0,15
*BMB* gepron1x,117,166,7,0,124,46858,55165,0,0,0,0,0,1,55,0,3,1.8,3,151,0,1,2,193,1599,18,19,12.1,3427,9685,81,97,35.4,125,318,18,46,39.3,3,123,0,0,2.4,14
!>Shantu,64,113,5,0,69,27535,38060,0,0,0,0,0,3,44,1,0,6.8,9,234,1,1,3.8,104,500,10,24,20.8,1338,4421,30,54,30.3,132,346,22,34,38.2,8,98,0,0,8.2,9
^>!<KF,132,159,14,0,146,56782,55863,8,56,1,0,14.3,39,418,7,2,9.3,16,637,3,0,2.5,167,1050,20,29,15.9,3051,6968,62,89,43.8,234,422,35,38,55.5,143,697,4,1,20.5,14
*BMB*CastAspell,105,141,17,0,122,46549,50023,12,38,0,1,31.6,4,154,1,5,2.6,13,598,3,1,2.2,191,1520,17,24,12.6,2792,7130,56,80,39.2,164,300,28,30,54.7,3,23,0,0,13,14
*BMB* qurdea,56,130,6,0,62,33086,40695,0,0,0,0,0,4,55,0,2,7.3,0,74,0,1,0,84,408,9,15,20.6,1663,5042,26,76,33,188,447,21,36,42.1,0,4,0,0,0,11
{RQF}Mistik31,97,88,2,0,99,33894,33059,0,16,0,0,0,7,33,2,0,21.2,0,45,0,0,0,45,432,2,9,10.4,2576,7601,68,55,33.9,152,325,24,24,46.8,0,39,0,0,0,9
{RQF}Sub-Zero,84,96,6,0,90,32188,33261,0,2,0,0,0,4,99,2,0,4,2,51,1,2,3.9,193,762,16,14,25.3,1705,4492,48,55,38,103,258,17,25,39.9,14,53,0,0,26.4,9
*BMB*27sz,10,41,-1,0,9,5241,11439,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,86,0,3,2.3,576,2156,9,32,26.7,11,30,1,5,36.7,0,0,0,0,0,3
[brn],83,74,0,0,83,31576,30305,0,0,0,0,0,0,198,0,0,0,6,328,1,2,1.8,103,479,11,7,21.5,2468,7665,61,49,32.2,80,185,10,16,43.2,2,26,0,0,7.7,9
